"","ano","juri","juri_nombre","sexo_codigo","sexo_nombre","edad","poblacion"
"255",2014,"01","TOTAL DEL PAÍS","2","Mujeres","0-4",1817374
"256",2014,"01","TOTAL DEL PAÍS","0","Ambos sexos","5-9",3541275
"257",2014,"01","TOTAL DEL PAÍS","1","Varones","5-9",1820695
"258",2014,"01","TOTAL DEL PAÍS","2","Mujeres","5-9",1720580
"259",2014,"01","TOTAL DEL PAÍS","0","Ambos sexos","10-14",3510972
"260",2014,"01","TOTAL DEL PAÍS","1","Varones","10-14",1794189
"261",2014,"01","TOTAL DEL PAÍS","2","Mujeres","10-14",1716783
"262",2014,"01","TOTAL DEL PAÍS","0","Ambos sexos","15-19",3553325
"263",2014,"01","TOTAL DEL PAÍS","1","Varones","15-19",1803726
"264",2014,"01","TOTAL DEL PAÍS","2","Mujeres","15-19",1749599
"265",2014,"01","TOTAL DEL PAÍS","0","Ambos sexos","20-24",3527754
"266",2014,"01","TOTAL DEL PAÍS","1","Varones","20-24",1774923
"267",2014,"01","TOTAL DEL PAÍS","2","Mujeres","20-24",1752831
"268",2014,"01","TOTAL DEL PAÍS","0","Ambos sexos","25-29",3294748
"269",2014,"01","TOTAL DEL PAÍS","1","Varones","25-29",1643562
"270",2014,"01","TOTAL DEL PAÍS","2","Mujeres","25-29",1651186
"271",2014,"01","TOTAL DEL PAÍS","0","Ambos sexos","30-34",3153561
"272",2014,"01","TOTAL DEL PAÍS","1","Varones","30-34",1565008
"273",2014,"01","TOTAL DEL PAÍS","2","Mujeres","30-34",1588553
"274",2014,"01","TOTAL DEL PAÍS","0","Ambos sexos","35-39",3047087
"275",2014,"01","TOTAL DEL PAÍS","1","Varones","35-39",1504230
"276",2014,"01","TOTAL DEL PAÍS","2","Mujeres","35-39",1542857
"277",2014,"01","TOTAL DEL PAÍS","0","Ambos sexos","40-44",2607887
"278",2014,"01","TOTAL DEL PAÍS","1","Varones","40-44",1279832
"279",2014,"01","TOTAL DEL PAÍS","2","Mujeres","40-44",1328055
"280",2014,"01","TOTAL DEL PAÍS","0","Ambos sexos","45-49",2284142
"281",2014,"01","TOTAL DEL PAÍS","1","Varones","45-49",1113955
"282",2014,"01","TOTAL DEL PAÍS","2","Mujeres","45-49",1170187
"283",2014,"01","TOTAL DEL PAÍS","0","Ambos sexos","50-54",2150000
"284",2014,"01","TOTAL DEL PAÍS","1","Varones","50-54",1040062
"285",2014,"01","TOTAL DEL PAÍS","2","Mujeres","50-54",1109938
"286",2014,"01","TOTAL DEL PAÍS","0","Ambos sexos","55-59",1972274
"287",2014,"01","TOTAL DEL PAÍS","1","Varones","55-59",943466
"288",2014,"01","TOTAL DEL PAÍS","2","Mujeres","55-59",1028808
"289",2014,"01","TOTAL DEL PAÍS","0","Ambos sexos","60-64",1755623
"290",2014,"01","TOTAL DEL PAÍS","1","Varones","60-64",825113
"291",2014,"01","TOTAL DEL PAÍS","2","Mujeres","60-64",930510
"292",2014,"01","TOTAL DEL PAÍS","0","Ambos sexos","65-69",1466753
"293",2014,"01","TOTAL DEL PAÍS","1","Varones","65-69",669445
"294",2014,"01","TOTAL DEL PAÍS","2","Mujeres","65-69",797308
"295",2014,"01","TOTAL DEL PAÍS","0","Ambos sexos","70-74",1125319
"296",2014,"01","TOTAL DEL PAÍS","1","Varones","70-74",489752
"297",2014,"01","TOTAL DEL PAÍS","2","Mujeres","70-74",635567
"298",2014,"01","TOTAL DEL PAÍS","0","Ambos sexos","75-79",840332
"299",2014,"01","TOTAL DEL PAÍS","1","Varones","75-79",338698
"300",2014,"01","TOTAL DEL PAÍS","2","Mujeres","75-79",501634
"301",2014,"01","TOTAL DEL PAÍS","0","Ambos sexos","80-84",585184
"302",2014,"01","TOTAL DEL PAÍS","1","Varones","80-84",212432
"303",2014,"01","TOTAL DEL PAÍS","2","Mujeres","80-84",372752
"304",2014,"01","TOTAL DEL PAÍS","0","Ambos sexos","85-89",335449
"305",2014,"01","TOTAL DEL PAÍS","1","Varones","85-89",104823
"306",2014,"01","TOTAL DEL PAÍS","2","Mujeres","85-89",230626
"307",2014,"01","TOTAL DEL PAÍS","0","Ambos sexos","90-94",135274
"308",2014,"01","TOTAL DEL PAÍS","1","Varones","90-94",36398
"309",2014,"01","TOTAL DEL PAÍS","2","Mujeres","90-94",98876
"310",2014,"01","TOTAL DEL PAÍS","0","Ambos sexos","95-99",31512
"311",2014,"01","TOTAL DEL PAÍS","1","Varones","95-99",6896
"312",2014,"01","TOTAL DEL PAÍS","2","Mujeres","95-99",24616
"313",2014,"01","TOTAL DEL PAÍS","0","Ambos sexos","100 y más",5730
"314",2014,"01","TOTAL DEL PAÍS","1","Varones","100 y más",1073
"315",2014,"01","TOTAL DEL PAÍS","2","Mujeres","100 y más",4657
"316",2015,"01","TOTAL DEL PAÍS","0","Ambos sexos","0-4",3764736
"317",2015,"01","TOTAL DEL PAÍS","1","Varones","0-4",1936908
"318",2015,"01","TOTAL DEL PAÍS","2","Mujeres","0-4",1827828
"319",2015,"01","TOTAL DEL PAÍS","0","Ambos sexos","5-9",3570085
"320",2015,"01","TOTAL DEL PAÍS","1","Varones","5-9",1837604
"321",2015,"01","TOTAL DEL PAÍS","2","Mujeres","5-9",1732481
"322",2015,"01","TOTAL DEL PAÍS","0","Ambos sexos","10-14",3508531
"323",2015,"01","TOTAL DEL PAÍS","1","Varones","10-14",1794948
"324",2015,"01","TOTAL DEL PAÍS","2","Mujeres","10-14",1713583
"325",2015,"01","TOTAL DEL PAÍS","0","Ambos sexos","15-19",3539630
"326",2015,"01","TOTAL DEL PAÍS","1","Varones","15-19",1799127
"327",2015,"01","TOTAL DEL PAÍS","2","Mujeres","15-19",1740503
"328",2015,"01","TOTAL DEL PAÍS","0","Ambos sexos","20-24",3554811
"329",2015,"01","TOTAL DEL PAÍS","1","Varones","20-24",1791102
"330",2015,"01","TOTAL DEL PAÍS","2","Mujeres","20-24",1763709
"331",2015,"01","TOTAL DEL PAÍS","0","Ambos sexos","25-29",3341846
"332",2015,"01","TOTAL DEL PAÍS","1","Varones","25-29",1668640
"333",2015,"01","TOTAL DEL PAÍS","2","Mujeres","25-29",1673206
"334",2015,"01","TOTAL DEL PAÍS","0","Ambos sexos","30-34",3159595
"335",2015,"01","TOTAL DEL PAÍS","1","Varones","30-34",1568993
"336",2015,"01","TOTAL DEL PAÍS","2","Mujeres","30-34",1590602
"337",2015,"01","TOTAL DEL PAÍS","0","Ambos sexos","35-39",3099835
"338",2015,"01","TOTAL DEL PAÍS","1","Varones","35-39",1531313
"339",2015,"01","TOTAL DEL PAÍS","2","Mujeres","35-39",1568522
"340",2015,"01","TOTAL DEL PAÍS","0","Ambos sexos","40-44",2692486
"341",2015,"01","TOTAL DEL PAÍS","1","Varones","40-44",1322258
"342",2015,"01","TOTAL DEL PAÍS","2","Mujeres","40-44",1370228
"343",2015,"01","TOTAL DEL PAÍS","0","Ambos sexos","45-49",2320378
"344",2015,"01","TOTAL DEL PAÍS","1","Varones","45-49",1132249
"345",2015,"01","TOTAL DEL PAÍS","2","Mujeres","45-49",1188129
"346",2015,"01","TOTAL DEL PAÍS","0","Ambos sexos","50-54",2168105
"347",2015,"01","TOTAL DEL PAÍS","1","Varones","50-54",1049173
"348",2015,"01","TOTAL DEL PAÍS","2","Mujeres","50-54",1118932
"349",2015,"01","TOTAL DEL PAÍS","0","Ambos sexos","55-59",1995008
"350",2015,"01","TOTAL DEL PAÍS","1","Varones","55-59",954332
"351",2015,"01","TOTAL DEL PAÍS","2","Mujeres","55-59",1040676
"352",2015,"01","TOTAL DEL PAÍS","0","Ambos sexos","60-64",1782266
"353",2015,"01","TOTAL DEL PAÍS","1","Varones","60-64",837634
"354",2015,"01","TOTAL DEL PAÍS","2","Mujeres","60-64",944632
"355",2015,"01","TOTAL DEL PAÍS","0","Ambos sexos","65-69",1505504
"356",2015,"01","TOTAL DEL PAÍS","1","Varones","65-69",687330
"357",2015,"01","TOTAL DEL PAÍS","2","Mujeres","65-69",818174
